preamble,itemnum,condition,the,and,adj,group
blissful journeys,5,AdjBP,FALSE,FALSE,TRUE,E
steamy mirrors and blissful journeys,5,AdjBPand,FALSE,TRUE,TRUE,F
the journeys,5,theBP,TRUE,FALSE,FALSE,G
the mirrors and the journeys,5,theBPand,TRUE,TRUE,FALSE,H
the blissful journeys,5,theAdjBP,TRUE,FALSE,TRUE,A
the steamy mirrors and the blissful journeys,5,theAdjBPand,TRUE,TRUE,TRUE,B
maids,6,BP,FALSE,FALSE,FALSE,F
mysteries and maids,6,BPand,FALSE,TRUE,FALSE,G
bashful maids,6,AdjBP,FALSE,FALSE,TRUE,H
stubborn mysteries and bashful maids,6,AdjBPand,FALSE,TRUE,TRUE,A
the maids,6,theBP,TRUE,FALSE,FALSE,B
the mysteries and the maids,6,theBPand,TRUE,TRUE,FALSE,C
the bashful maids,6,theAdjBP,TRUE,FALSE,TRUE,D
the stubborn mysteries and the bashful maids,6,theAdjBPand,TRUE,TRUE,TRUE,E
monuments,7,BP,FALSE,FALSE,FALSE,D
monuments and mobs,7,BPand,FALSE,TRUE,FALSE,E
pale monuments,7,AdjBP,FALSE,FALSE,TRUE,F
pale monuments and disheveled mobs,7,AdjBPand,FALSE,TRUE,TRUE,G
the monuments,7,theBP,TRUE,FALSE,FALSE,H
the monuments and the mobs,7,theBPand,TRUE,TRUE,FALSE,A
the pale monuments,7,theAdjBP,TRUE,FALSE,TRUE,B
the pale monuments and the disheveled mobs,7,theAdjBPand,TRUE,TRUE,TRUE,C
tulips,8,BP,FALSE,FALSE,FALSE,E
tulips and remarks,8,BPand,FALSE,TRUE,FALSE,F
pink tulips,8,AdjBP,FALSE,FALSE,TRUE,G
pink tulips and unprintable remarks,8,AdjBPand,FALSE,TRUE,TRUE,H
the tulips,8,theBP,TRUE,FALSE,FALSE,A
the tulips and the remarks,8,theBPand,TRUE,TRUE,FALSE,B
the pink tulips,8,theAdjBP,TRUE,FALSE,TRUE,C
the pink tulips and the unprintable remarks,8,theAdjBPand,TRUE,TRUE,TRUE,D
sisters,9,BP,FALSE,FALSE,FALSE,A
sisters and brides,9,BPand,FALSE,TRUE,FALSE,B
enchanted sisters,9,AdjBP,FALSE,FALSE,TRUE,C
enchanted sisters and reluctant brides,9,AdjBPand,FALSE,TRUE,TRUE,D
the sisters,9,theBP,TRUE,FALSE,FALSE,E
the sisters and the brides,9,theBPand,TRUE,TRUE,FALSE,F
the enchanted sisters,9,theAdjBP,TRUE,FALSE,TRUE,G
the enchanted sisters and the reluctant brides,9,theAdjBPand,TRUE,TRUE,TRUE,H
headaches,10,BP,FALSE,FALSE,FALSE,H
headaches and rulers,10,BPand,FALSE,TRUE,FALSE,A
familiar headaches,10,AdjBP,FALSE,FALSE,TRUE,B
familiar headaches and wooden rulers,10,AdjBPand,FALSE,TRUE,TRUE,C
the headaches,10,theBP,TRUE,FALSE,FALSE,D
the headaches and the rulers,10,theBPand,TRUE,TRUE,FALSE,E
the familiar headaches,10,theAdjBP,TRUE,FALSE,TRUE,F
the familiar headaches and the wooden rulers,10,theAdjBPand,TRUE,TRUE,TRUE,G
leggings,11,BP,FALSE,FALSE,FALSE,B
leggings and cardigans,11,BPand,FALSE,TRUE,FALSE,C
black leggings,11,AdjBP,FALSE,FALSE,TRUE,D
black leggings and nerdy cardigans,11,AdjBPand,FALSE,TRUE,TRUE,E
the leggings,11,theBP,TRUE,FALSE,FALSE,F
the leggings and the cardigans,11,theBPand,TRUE,TRUE,FALSE,G
the black leggings,11,theAdjBP,TRUE,FALSE,TRUE,H
the black leggings and the nerdy cardigans,11,theAdjBPand,TRUE,TRUE,TRUE,A
spoons,12,BP,FALSE,FALSE,FALSE,G
spoons and strategies,12,BPand,FALSE,TRUE,FALSE,H
dainty spoons,12,AdjBP,FALSE,FALSE,TRUE,A
dainty spoons and bold strategies,12,AdjBPand,FALSE,TRUE,TRUE,B
the spoons,12,theBP,TRUE,FALSE,FALSE,C
the spoons and the strategies,12,theBPand,TRUE,TRUE,FALSE,D
the dainty spoons,12,theAdjBP,TRUE,FALSE,TRUE,E
the dainty spoons and the bold strategies,12,theAdjBPand,TRUE,TRUE,TRUE,F
astronauts,13,BP,FALSE,FALSE,FALSE,C
astronauts and stories,13,BPand,FALSE,TRUE,FALSE,D
unlucky astronauts,13,AdjBP,FALSE,FALSE,TRUE,E
unlucky astronauts and ominous stories,13,AdjBPand,FALSE,TRUE,TRUE,F
the astronauts,13,theBP,TRUE,FALSE,FALSE,G
the astronauts and the stories,13,theBPand,TRUE,TRUE,FALSE,H
the unlucky astronauts,13,theAdjBP,TRUE,FALSE,TRUE,A
the unlucky astronauts and the ominous stories,13,theAdjBPand,TRUE,TRUE,TRUE,B
ponds,14,BP,FALSE,FALSE,FALSE,F
ponds and umbrellas,14,BPand,FALSE,TRUE,FALSE,G
sunlit ponds,14,AdjBP,FALSE,FALSE,TRUE,H
sunlit ponds and green umbrellas,14,AdjBPand,FALSE,TRUE,TRUE,A
the ponds,14,theBP,TRUE,FALSE,FALSE,B
the ponds and the umbrellas,14,theBPand,TRUE,TRUE,FALSE,C
the sunlit ponds,14,theAdjBP,TRUE,FALSE,TRUE,D
the sunlit ponds and the green umbrellas,14,theAdjBPand,TRUE,TRUE,TRUE,E
hoses,15,BP,FALSE,FALSE,FALSE,D
sofas and hoses,15,BPand,FALSE,TRUE,FALSE,E
drippy hoses,15,AdjBP,FALSE,FALSE,TRUE,F
pricey sofas and drippy hoses,15,AdjBPand,FALSE,TRUE,TRUE,G
the hoses,15,theBP,TRUE,FALSE,FALSE,H
the sofas and the hoses,15,theBPand,TRUE,TRUE,FALSE,A
the drippy hoses,15,theAdjBP,TRUE,FALSE,TRUE,B
the pricey sofas and the drippy hoses,15,theAdjBPand,TRUE,TRUE,TRUE,C
kings,16,BP,FALSE,FALSE,FALSE,E
kings and games,16,BPand,FALSE,TRUE,FALSE,F
gluttonous kings,16,AdjBP,FALSE,FALSE,TRUE,G
gluttonous kings and friendly games,16,AdjBPand,FALSE,TRUE,TRUE,H
the kings,16,theBP,TRUE,FALSE,FALSE,A
the kings and the games,16,theBPand,TRUE,TRUE,FALSE,B
the gluttonous kings,16,theAdjBP,TRUE,FALSE,TRUE,C
the gluttonous kings and the friendly games,16,theAdjBPand,TRUE,TRUE,TRUE,D
sketches,17,BP,FALSE,FALSE,FALSE,A
sketches and pans,17,BPand,FALSE,TRUE,FALSE,B
original sketches,17,AdjBP,FALSE,FALSE,TRUE,C
original sketches and metallic pans,17,AdjBPand,FALSE,TRUE,TRUE,D
the sketches,17,theBP,TRUE,FALSE,FALSE,E
the sketches and the pans,17,theBPand,TRUE,TRUE,FALSE,F
the original sketches,17,theAdjBP,TRUE,FALSE,TRUE,G
the original sketches and the metallic pans,17,theAdjBPand,TRUE,TRUE,TRUE,H
ghosts,18,BP,FALSE,FALSE,FALSE,H
colors and ghosts,18,BPand,FALSE,TRUE,FALSE,A
evil ghosts,18,AdjBP,FALSE,FALSE,TRUE,B
lovely colors and evil ghosts,18,AdjBPand,FALSE,TRUE,TRUE,C
the ghosts,18,theBP,TRUE,FALSE,FALSE,D
the colors and the ghosts,18,theBPand,TRUE,TRUE,FALSE,E
the evil ghosts,18,theAdjBP,TRUE,FALSE,TRUE,F
the lovely colors and the evil ghosts,18,theAdjBPand,TRUE,TRUE,TRUE,G
artists,19,BP,FALSE,FALSE,FALSE,B
artists and pickles,19,BPand,FALSE,TRUE,FALSE,C
blind artists,19,AdjBP,FALSE,FALSE,TRUE,D
blind artists and spicy pickles,19,AdjBPand,FALSE,TRUE,TRUE,E
the artists,19,theBP,TRUE,FALSE,FALSE,F
the artists and the pickles,19,theBPand,TRUE,TRUE,FALSE,G
the blind artists,19,theAdjBP,TRUE,FALSE,TRUE,H
the blind artists and the spicy pickles,19,theAdjBPand,TRUE,TRUE,TRUE,A
bears,20,BP,FALSE,FALSE,FALSE,G
bears and deputies,20,BPand,FALSE,TRUE,FALSE,H
hungry bears,20,AdjBP,FALSE,FALSE,TRUE,A
hungry bears and brave deputies,20,AdjBPand,FALSE,TRUE,TRUE,B
the bears,20,theBP,TRUE,FALSE,FALSE,C
the bears and the deputies,20,theBPand,TRUE,TRUE,FALSE,D
the hungry bears,20,theAdjBP,TRUE,FALSE,TRUE,E
the hungry bears and the brave deputies,20,theAdjBPand,TRUE,TRUE,TRUE,F
boys,21,BP,FALSE,FALSE,FALSE,C
boys and keyboards,21,BPand,FALSE,TRUE,FALSE,D
anxious boys,21,AdjBP,FALSE,FALSE,TRUE,E
anxious boys and portable keyboards,21,AdjBPand,FALSE,TRUE,TRUE,F
the boys,21,theBP,TRUE,FALSE,FALSE,G
the boys and the keyboards,21,theBPand,TRUE,TRUE,FALSE,H
the anxious boys,21,theAdjBP,TRUE,FALSE,TRUE,A
the anxious boys and the portable keyboards,21,theAdjBPand,TRUE,TRUE,TRUE,B
rugs,22,BP,FALSE,FALSE,FALSE,F
moms and rugs,22,BPand,FALSE,TRUE,FALSE,G
decorative rugs,22,AdjBP,FALSE,FALSE,TRUE,H
busy moms and decorative rugs,22,AdjBPand,FALSE,TRUE,TRUE,A
the rugs,22,theBP,TRUE,FALSE,FALSE,B
the moms and the rugs,22,theBPand,TRUE,TRUE,FALSE,C
the decorative rugs,22,theAdjBP,TRUE,FALSE,TRUE,D
the busy moms and the decorative rugs,22,theAdjBPand,TRUE,TRUE,TRUE,E
pizzas,23,BP,FALSE,FALSE,FALSE,D
dilemmas and pizzas,23,BPand,FALSE,TRUE,FALSE,E
homemade pizzas,23,AdjBP,FALSE,FALSE,TRUE,F
national dilemmas and homemade pizzas,23,AdjBPand,FALSE,TRUE,TRUE,G
the pizzas,23,theBP,TRUE,FALSE,FALSE,H
the dilemmas and the pizzas,23,theBPand,TRUE,TRUE,FALSE,A
the homemade pizzas,23,theAdjBP,TRUE,FALSE,TRUE,B
the national dilemmas and the homemade pizzas,23,theAdjBPand,TRUE,TRUE,TRUE,C
newspapers,24,BP,FALSE,FALSE,FALSE,E
newspapers and students,24,BPand,FALSE,TRUE,FALSE,F
panicky newspapers,24,AdjBP,FALSE,FALSE,TRUE,G
panicky newspapers and envious students,24,AdjBPand,FALSE,TRUE,TRUE,H
the newspapers,24,theBP,TRUE,FALSE,FALSE,A
the newspapers and the students,24,theBPand,TRUE,TRUE,FALSE,B
the panicky newspapers,24,theAdjBP,TRUE,FALSE,TRUE,C
the panicky newspapers and the envious students,24,theAdjBPand,TRUE,TRUE,TRUE,D
answers,25,BP,FALSE,FALSE,FALSE,A
answers and diamonds,25,BPand,FALSE,TRUE,FALSE,B
untrue answers,25,AdjBP,FALSE,FALSE,TRUE,C
untrue answers and outlandish diamonds,25,AdjBPand,FALSE,TRUE,TRUE,D
the answers,25,theBP,TRUE,FALSE,FALSE,E
the answers and the diamonds,25,theBPand,TRUE,TRUE,FALSE,F
the untrue answers,25,theAdjBP,TRUE,FALSE,TRUE,G
the untrue answers and the outlandish diamonds,25,theAdjBPand,TRUE,TRUE,TRUE,H
entrances,26,BP,FALSE,FALSE,FALSE,H
entrances and airports,26,BPand,FALSE,TRUE,FALSE,A
formal entrances,26,AdjBP,FALSE,FALSE,TRUE,B
formal entrances and chaotic airports,26,AdjBPand,FALSE,TRUE,TRUE,C
the entrances,26,theBP,TRUE,FALSE,FALSE,D
the entrances and the airports,26,theBPand,TRUE,TRUE,FALSE,E
the formal entrances,26,theAdjBP,TRUE,FALSE,TRUE,F
the formal entrances and the chaotic airports,26,theAdjBPand,TRUE,TRUE,TRUE,G
guns,27,BP,FALSE,FALSE,FALSE,B
guns and babies,27,BPand,FALSE,TRUE,FALSE,C
inexpensive guns,27,AdjBP,FALSE,FALSE,TRUE,D
inexpensive guns and active babies,27,AdjBPand,FALSE,TRUE,TRUE,E
the guns,27,theBP,TRUE,FALSE,FALSE,F
the guns and the babies,27,theBPand,TRUE,TRUE,FALSE,G
the inexpensive guns,27,theAdjBP,TRUE,FALSE,TRUE,H
the inexpensive guns and the active babies,27,theAdjBPand,TRUE,TRUE,TRUE,A
mosquitos,28,BP,FALSE,FALSE,FALSE,G
towns and mosquitos,28,BPand,FALSE,TRUE,FALSE,H
fiendish mosquitos,28,AdjBP,FALSE,FALSE,TRUE,A
flat towns and fiendish mosquitos,28,AdjBPand,FALSE,TRUE,TRUE,B
the mosquitos,28,theBP,TRUE,FALSE,FALSE,C
the towns and the mosquitos,28,theBPand,TRUE,TRUE,FALSE,D
the fiendish mosquitos,28,theAdjBP,TRUE,FALSE,TRUE,E
the flat towns and the fiendish mosquitos,28,theAdjBPand,TRUE,TRUE,TRUE,F
daughters,29,BP,FALSE,FALSE,FALSE,C
rectangles and daughters,29,BPand,FALSE,TRUE,FALSE,D
heroic daughters,29,AdjBP,FALSE,FALSE,TRUE,E
orange rectangles and heroic daughters,29,AdjBPand,FALSE,TRUE,TRUE,F
the daughters,29,theBP,TRUE,FALSE,FALSE,G
the rectangles and the daughters,29,theBPand,TRUE,TRUE,FALSE,H
the heroic daughters,29,theAdjBP,TRUE,FALSE,TRUE,A
the orange rectangles and the heroic daughters,29,theAdjBPand,TRUE,TRUE,TRUE,B
dinners,30,BP,FALSE,FALSE,FALSE,F
smiles and dinners,30,BPand,FALSE,TRUE,FALSE,G
costly dinners,30,AdjBP,FALSE,FALSE,TRUE,H
innocent smiles and costly dinners,30,AdjBPand,FALSE,TRUE,TRUE,A
the dinners,30,theBP,TRUE,FALSE,FALSE,B
the smiles and the dinners,30,theBPand,TRUE,TRUE,FALSE,C
the costly dinners,30,theAdjBP,TRUE,FALSE,TRUE,D
the innocent smiles and the costly dinners,30,theAdjBPand,TRUE,TRUE,TRUE,E
flowers,31,BP,FALSE,FALSE,FALSE,D
squares and flowers,31,BPand,FALSE,TRUE,FALSE,E
gorgeous flowers,31,AdjBP,FALSE,FALSE,TRUE,F
ceramic squares and gorgeous flowers,31,AdjBPand,FALSE,TRUE,TRUE,G
the flowers,31,theBP,TRUE,FALSE,FALSE,H
the squares and the flowers,31,theBPand,TRUE,TRUE,FALSE,A
the gorgeous flowers,31,theAdjBP,TRUE,FALSE,TRUE,B
the ceramic squares and the gorgeous flowers,31,theAdjBPand,TRUE,TRUE,TRUE,C
guests,32,BP,FALSE,FALSE,FALSE,E
gifts and guests,32,BPand,FALSE,TRUE,FALSE,F
generous guests,32,AdjBP,FALSE,FALSE,TRUE,G
bridal gifts and generous guests,32,AdjBPand,FALSE,TRUE,TRUE,H
the guests,32,theBP,TRUE,FALSE,FALSE,A
the gifts and the guests,32,theBPand,TRUE,TRUE,FALSE,B
the generous guests,32,theAdjBP,TRUE,FALSE,TRUE,C
the bridal gifts and the generous guests,32,theAdjBPand,TRUE,TRUE,TRUE,D
