subject,Label,Preamble,Value,Condition,ItemNumber,Is_definite,Is_modified,Is_coordinated
S[1],filler,Whose coffee,is this that was left on the table,filler,wh,37,NULL,NA
S[1],trial,The familiar headaches,plagued her yet again,theAdjBP,10,TRUE,TRUE,FALSE
S[1],filler,In the misty mountain valley,lived an old grandfather and his granddaughter,filler,adjunct,26,NULL,NA
S[1],filler,Whichever path they chose,is the one that they must follow,filler,correlative,64,NULL,NA
S[1],trial,The flat towns and the fiendish mosquitos,made for a hellish vacation,theAdjBPand,28,TRUE,TRUE,TRUE
S[1],filler,During a starry summer night,they sat watching the sky,filler,adjunct,24,NULL,NA
S[1],filler,The car that raced through the streets,was definitely stolen,filler,rc,1,NULL,NA
S[1],trial,Pale monuments,dotted the town,AdjBP,7,FALSE,TRUE,FALSE
S[1],filler,Who holds the key,holds the power,filler,wh,31,NULL,NA
S[1],filler,If sentient robots roamed the Earth%2C,i really wouldn't be surprised,filler,if,52,NULL,NA
S[1],trial,The sketches and the pans,were strewn across the messy room,theBPand,17,TRUE,FALSE,TRUE
S[1],filler,Along the road,were flowers of all different colors,filler,adjunct,25,NULL,NA
S[1],filler,At the bustling market square,i saw some flowers for sale,filler,adjunct,27,NULL,NA
S[1],trial,Gorgeous flowers,lined the sides of the mountain road,AdjBP,31,FALSE,TRUE,FALSE
S[1],filler,How can we mend,this shirt when it's been so torn apar,filler,wh,39,NULL,NA
S[1],filler,The Johnson siblings%2C Ethan and Olivia ,were known for causing trouble,filler,name,18,NULL,NA
S[1],trial,The stains and the scissors,were on her mind,theBPand,1,TRUE,FALSE,TRUE
S[1],filler,The tree that shaded the picnic area,was cut down today,filler,rc,4,NULL,NA
S[1],trial,Gifts and guests,are important aspects of a good party,BPand,32,FALSE,FALSE,TRUE
S[1],filler,If artists from different eras collaborated with Billie Eilish%2C,it would probably be a hi,filler,if,54,NULL,NA
S[1],filler,Which path to choose,is a question i ask myself every day,filler,wh,34,NULL,NA
S[1],trial,The formal entrances,were decorated with flowers,theAdjBP,26,TRUE,TRUE,FALSE
S[1],filler,All eager eyes%2C filled with anticipation%2C,were on the last contestantt,filler,quantifier,46,NULL,NA
S[1],filler,The restaurant that delighted taste buds with tantalizing flavors,has a michelin star,filler,rc,9,NULL,NA
S[1],trial,The hungry bears and the brave deputies,faced off in the middle of the camp today,theAdjBPand,20,TRUE,TRUE,TRUE
S[1],filler,The flower that bloomed like a radiant burst of sunshine,was in the field,filler,rc,10,NULL,NA
S[1],filler,The city that never slept,was a place for all kinds of people,filler,rc,5,NULL,NA
S[1],trial,Tulips and remarks,regarding her appearance were all that he gave her,BPand,8,FALSE,FALSE,TRUE
S[1],filler,David and Rebecca,are two peas in a pod,filler,name,14,NULL,NA
S[1],filler,The Jones twins%2C Emma and Ethan,were actually not identical,filler,name,20,NULL,NA
S[1],trial,The evil ghosts,haunted the abandoned school,theAdjBP,18,TRUE,TRUE,FALSE
S[1],filler,The computer that crashed in a spectacular display of sparks,held the only copy of my dissertation,filler,rc,7,NULL,NA
S[1],filler,Many passionate voices%2C echoing through the room%2C,were heard from outside the hall,filler,quantifier,47,NULL,NA
S[1],filler,Were I to relive yesterday%2C,i wouldnt,filler,if,60,NULL,NA
S[1],filler,Were I to relive yesterday%2C,i would do it all the same again,filler,if,60,NULL,NA
S[1],filler,On the golden sandy beach,sad the young family,filler,adjunct,21,NULL,NA
S[1],trial,Anxious boys and portable keyboards,actually go hand in hand,AdjBPand,21,FALSE,TRUE,TRUE
S[1],filler,Several blissful moments%2C spent in each other's arms%2C,were recollected that day,filler,quantifier,48,NULL,NA
S[1],filler,When the clock strikes,midnight it's time for bed,filler,wh,33,NULL,NA
S[1],trial,Drippy hoses,are super annoying,AdjBP,15,FALSE,TRUE,FALSE
S[1],filler,Amidst the vibrant city lights,i saw her,filler,adjunct,22,NULL,NA
S[1],filler,Why the stars shine,is a question i asked as a child,filler,wh,32,NULL,NA
S[1],trial,The sisters and the brides,knew each other from long ago,theBPand,9,TRUE,FALSE,TRUE
S[1],filler,Whom,does it concern,filler,wh,36,NULL,NA
S[1],filler,Atop the rugged cliffside lookout,sits a fortress,filler,adjunct,30,NULL,NA
S[1],trial,The artists,enjoyed each others company,theBP,19,TRUE,FALSE,FALSE
S[1],filler,If time and money were no obstacles%2C,we could do anything we want,filler,if,51,NULL,NA
S[1],trial,The dainty spoons and the bold strategies,were thrown aboutt in the meeting,theAdjBPand,12,TRUE,TRUE,TRUE
S[1],filler,Mr. Johnson and his loyal assistant%2C Ms. Rodriguez,were a remarkable team,filler,name,15,NULL,NA
S[1],filler,Few precious chances%2C which had eluded them for so long%2C,were offered to them,filler,quantifier,49,NULL,NA
S[1],trial,Homemade pizzas,are the best kind of pizza,AdjBP,23,FALSE,TRUE,FALSE
S[1],filler,Professor Thompson and his brilliant student%2C Alice,worked together on the theorem,filler,name,17,NULL,NA
S[1],filler,Emily%2C Michael%2C and Samantha,are childhood friends,filler,name,12,NULL,NA
S[1],trial,Maids,provide a service,BP,6,FALSE,FALSE,FALSE
S[2],filler,If the world was ruled by cats%2C,we'd probably have round-the-world siestas.,filler,if,55,NULL,NA
S[2],trial,Moms and rugs,don't always get along.,BPand,22,FALSE,FALSE,TRUE
S[2],filler,Many passionate voices%2C echoing through the room%2C,contribute to giving me a headache.,filler,quantifier,47,NULL,NA
S[2],filler,Were I to save someone from the past%2C,I would choose La Malinche.,filler,if,59,NULL,NA
S[2],trial,The artists and the pickles,were an unlikely pairing.,theBPand,19,TRUE,FALSE,TRUE
S[2],filler,Many voices,rose up from the street at night.,filler,quantifier,44,NULL,NA
S[2],filler,Whatever happened,on that day%2C we'll never know.,filler,correlative,61,NULL,NA
S[2],trial,The blunt scissors,don't cut paper well.,theAdjBP,1,TRUE,TRUE,FALSE
S[2],filler,During a starry summer night,you might be lucky to see a shooting star.,filler,adjunct,24,NULL,NA
S[2],filler,The dynamic duo of Lucy and Max ,was%2C to some%2C unforgettable.,filler,name,16,NULL,NA
S[2],trial,The formal entrances and the chaotic airports,never gave a consistent picture of the country.,theAdjBPand,26,TRUE,TRUE,TRUE
S[2],filler,Sarah and John%2C,recently divorced%2C hated each other.,filler,name,11,NULL,NA
S[2],filler,Whom,would you like to choose?,filler,wh,36,NULL,NA
S[2],trial,Ponds and umbrellas,both relate to water.,BPand,14,FALSE,FALSE,TRUE
S[2],filler,Whichever path they chose,they're sure to be happy.,filler,correlative,64,NULL,NA
S[2],filler,Who is behind the mask,must be a sinister character.,filler,wh,35,NULL,NA
S[2],trial,Panicky newspapers,are the bane of society.,AdjBP,24,FALSE,TRUE,FALSE
S[2],filler,Whose coffee,did you pick up by accident?,filler,wh,37,NULL,NA
S[2],filler,Several blissful moments%2C spent in each other's arms%2C,can sustain months of separation.,filler,quantifier,48,NULL,NA
S[2],trial,The astronauts,haven't yet finished their training.,theBP,13,TRUE,FALSE,FALSE
S[2],filler,If time and money were no obstacles%2C,everyone would be much happier.,filler,if,51,NULL,NA
S[2],filler,The flower that bloomed like a radiant burst of sunshine,is coveted by many novice botanists.,filler,rc,10,NULL,NA
S[2],trial,Bears,tend to be attracted to the smell of garbage.,BP,20,FALSE,FALSE,FALSE
S[2],filler,In the misty mountain valley,twelve dwarves%2C a wizard%2C and a hobbit sang.,filler,adjunct,26,NULL,NA
S[2],filler,David and Rebecca,conspired to rob a bank.,filler,name,14,NULL,NA
S[2],trial,Gluttonous kings,abound in fantasy novels.,AdjBP,16,FALSE,TRUE,FALSE
S[2],filler,Mr. Johnson and his loyal assistant%2C Ms. Rodriguez,hold the school together with their pure enthusiasm.,filler,name,15,NULL,NA
S[2],filler,Few precious chances%2C which had eluded them for so long%2C,finally fell into their hands.,filler,quantifier,49,NULL,NA
S[2],trial,The lovely colors and the evil ghosts,in the videogame tantalized the players.,theAdjBPand,18,TRUE,TRUE,TRUE
S[2],filler,Most challenges,require some degree of determination.,filler,quantifier,45,NULL,NA
S[2],trial,The familiar headaches and the wooden rulers,were a signal that the semester had returned.,theAdjBPand,10,TRUE,TRUE,TRUE
S[2],filler,Professor Thompson and his brilliant student%2C Alice,together illuminated much of quantum physics.,filler,name,17,NULL,NA
S[2],filler,Underneath the trees,the professor carried out her class.,filler,adjunct,29,NULL,NA
S[2],trial,Pricey sofas and drippy hoses,both cost a lot of money.,AdjBPand,15,FALSE,TRUE,TRUE
S[2],filler,Some dreams,go to rot.,filler,quantifier,42,NULL,NA
S[2],filler,Were I to be the mayor of College Park%2C,I would bulldoze the city and start over with better municipal zoning.,filler,if,57,NULL,NA
S[2],trial,The doors and the debts,tricked the man.,theBPand,3,TRUE,FALSE,TRUE
S[2],filler,The city that buzzed with vibrant energy day and night,captured hte hearts of millions around the world.,filler,rc,6,NULL,NA
S[2],filler,Wherever the party was,thrown%2C he was sure to be.,filler,correlative,62,NULL,NA
S[2],trial,Mysteries and maids,could be the title of a bad historical detective novel.,BPand,6,FALSE,FALSE,TRUE
S[2],filler,All stars,are in motion.,filler,quantifier,41,NULL,NA
S[2],filler,On the golden sandy beach,%2C German and British tourists get sunburnt.,filler,adjunct,21,NULL,NA
S[2],trial,The enchanted sisters,could kick some serious booty.,theAdjBP,9,TRUE,TRUE,FALSE
S[2],filler,Within the serene garden oasis,there was always water to be had.,filler,adjunct,23,NULL,NA
S[2],filler,Why the stars shine,different colors%2C I'll never understand.,filler,wh,32,NULL,NA
S[2],trial,Smiles and dinners,bring joy to every parent's heart.,BPand,30,FALSE,FALSE,TRUE
S[2],filler,Who holds the key,to the wardrobe has the first shot at Narnia.,filler,wh,31,NULL,NA
S[2],filler,The Jones twins%2C Emma and Ethan,were loathed by everyone in the school.,filler,name,20,NULL,NA
S[2],trial,The leggings and the cardigans,were staples of 2010s fashion.,theBPand,11,TRUE,FALSE,TRUE
S[2],filler,At the bustling market square,you had to watch out for pickpockets.,filler,adjunct,27,NULL,NA
S[2],filler,The city that never slept,also never seemed to wake up either.,filler,rc,5,NULL,NA
S[2],trial,Rivers,are the central means of transportation in Amazonia.,BP,4,FALSE,FALSE,FALSE
S[2],filler,What if you dare,be who you've never dared to be before?,filler,wh,40,NULL,NA
S[2],filler,The tree that shaded the picnic area,was cut down last week.,filler,rc,4,NULL,NA
S[2],trial,Ceramic squares and gorgeous flowers,are all over the Porcelain Museum in the city.,AdjBPand,31,FALSE,TRUE,TRUE
S[2],filler,The dog that barked incessantly,kept every neighbor awake all night.,filler,rc,3,NULL,NA
S[2],filler,Were I to relive yesterday%2C,I'd think I were going crazy.,filler,if,60,NULL,NA
S[2],trial,Pale monuments and disheveled mobs,are a constant in Paris.,AdjBPand,7,FALSE,TRUE,TRUE
S[2],filler,Atop the rugged cliffside lookout,you might see a puffin.,filler,adjunct,30,NULL,NA
S[2],filler,Emily%2C Michael%2C and Samantha,were the best of friends in middle school.,filler,name,12,NULL,NA
S[2],trial,The hasty funerals and the cozy tables,sometimes brought family together.,theAdjBPand,2,TRUE,TRUE,TRUE
S[2],filler,If sentient robots roamed the Earth%2C,the government would have a hell of a time trying to get rid of them.,filler,if,52,NULL,NA
S[2],filler,Whoever was responsible,for the cat's getting let out should be ashamed of themselves.,filler,correlative,63,NULL,NA
S[2],trial,The boys,are%2C as usual%2C up to no good.,theBP,21,TRUE,FALSE,FALSE
S[2],filler,Amidst the vibrant city lights,the couple found each other.,filler,adjunct,22,NULL,NA
S[2],filler,Within the tranquil coastal village,lie more than a few dark secrets.,filler,adjunct,28,NULL,NA
S[2],trial,Pink tulips,can be seen in the Netherlands every spring.,AdjBP,8,FALSE,TRUE,FALSE
S[2],filler,Were I to open a bakery shop%2C,it would also serve the best espresso in town.,filler,if,58,NULL,NA
S[2],filler,How can we mend,the divisions in this country?,filler,wh,39,NULL,NA
S[2],trial,The journeys,are long but the destination is sweet.,theBP,5,TRUE,FALSE,FALSE
S[2],filler,All eager eyes%2C filled with anticipation%2C,scan their emails for an acceptance letter.,filler,quantifier,46,NULL,NA
S[2],filler,What to do after,you hit rock bottom is your own decision.,filler,wh,38,NULL,NA
S[2],trial,The untrue answers,to scientific questions have divided society.,theAdjBP,25,TRUE,TRUE,FALSE
S[2],filler,Few opportunities,for International Students exist in the US.,filler,quantifier,43,NULL,NA
S[2],filler,Which path to choose,depends on how much you like yourself.,filler,wh,34,NULL,NA
S[2],trial,The original sketches,are on display in the museum this week.,theAdjBP,17,TRUE,TRUE,FALSE
S[2],filler,The movie that mesmerized audiences with its breathtaking visuals,just won an award at a film festival.,filler,rc,8,NULL,NA
S[2],filler,The Johnson siblings%2C Ethan and Olivia ,%2C might just be the smartest in the school.,filler,name,18,NULL,NA
S[2],trial,The daughters,couldn't wait to bring about their father's murder.,theBP,29,TRUE,FALSE,FALSE
S[2],filler,The restaurant that delighted taste buds with tantalizing flavors,has been given a Michelin star.,filler,rc,9,NULL,NA
S[2],filler,Jake%2C Lisa%2C and Alex ,thought it was smart to try to catch a rabid squirrel.,filler,name,19,NULL,NA
S[2],trial,National dilemmas and homemade pizzas,come about when friends spend time together.,AdjBPand,23,FALSE,TRUE,TRUE
S[2],filler,If a portal to the Dune universe would open today%2C,I'd smack Paul Atreides in the face just for kicks.,filler,if,53,NULL,NA
S[2],filler,The computer that crashed in a spectacular display of sparks,was a definite fire hazard.,filler,rc,7,NULL,NA
S[2],trial,Spoons,are a must in every kitchen.,BP,12,FALSE,FALSE,FALSE
S[2],filler,The Smith family,wasn't as rich as they made themselves out to be.,filler,name,13,NULL,NA
S[2],filler,Most vivid dreams%2C which transported them to fantastical realms%2C,were about some movie they'd recently watched.,filler,quantifier,50,NULL,NA
S[2],trial,Mosquitos,%2C though an important part of the food chain%2C are the worst part of summer.,BP,28,FALSE,FALSE,FALSE
S[2],filler,The book that kept me up all night,went straight back to the library.,filler,rc,2,NULL,NA
S[2],filler,The car that raced through the streets,eventually got a ticket for reckless driving.,filler,rc,1,NULL,NA
S[2],trial,Generous guests,always bring a bottle of wine.,AdjBP,32,FALSE,TRUE,FALSE
S[2],filler,If artists from different eras collaborated with Billie Eilish%2C,whatever they produced would be an interesting listen.,filler,if,54,NULL,NA
S[2],filler,Along the road,sprout various types of wildflowers.,filler,adjunct,25,NULL,NA
S[2],trial,The guns and the babies,are both pet talking points of the American Republican party.,theBPand,27,TRUE,FALSE,TRUE
S[2],filler,When the clock strikes,twelve%2C you've got to be home.,filler,wh,33,NULL,NA
S[3],filler,Some dreams,are impossible to realize,filler,quantifier,42,NULL,NA
S[3],trial,Headaches and rulers,are two of the things I hate the most about being alive,BPand,10,FALSE,FALSE,TRUE
S[3],filler,Mr. Johnson and his loyal assistant%2C Ms. Rodriguez,stole from the company ,filler,name,15,NULL,NA
S[3],filler,Many voices,were heard over the radio ,filler,quantifier,44,NULL,NA
S[3],filler,If I could travel back in time%2C it would be the time when,humans had fishtails,filler,if,56,NULL,NA
S[3],trial,The unlucky astronauts,died during re-entry after 2 weeks in space,theAdjBP,13,TRUE,TRUE,FALSE
S[3],filler,All stars,are dying,filler,quantifier,41,NULL,NA
S[3],filler,All stars,are dying,filler,quantifier,41,NULL,NA
S[3],filler,The car that raced through the streets,hit Mr. Bob's grocery store ,filler,rc,1,NULL,NA
S[3],trial,The solid doors and the huge debts,are part of the history of this bank,theAdjBPand,3,TRUE,TRUE,TRUE
S[3],filler,If artists from different eras collaborated with Billie Eilish%2C,the album would win a Grammy ,filler,if,54,NULL,NA
S[3],filler,What if you dare,touch the lightbulb,filler,wh,40,NULL,NA
S[3],trial,The blind artists and the spicy pickles,were banned from New York jazz bars in the 20s,theAdjBPand,19,TRUE,TRUE,TRUE
S[3],filler,All eager eyes%2C filled with anticipation%2C,they jumped on the puppet ,filler,quantifier,46,NULL,NA
S[3],filler,During a starry summer night,she heard a blood curdling scream,filler,adjunct,24,NULL,NA
S[3],trial,The squares and the flowers,were badly drawn on her bedroom wall,theBPand,31,TRUE,FALSE,TRUE
S[3],filler,Wherever the party was,last week%2C I'm glad I didn't go.,filler,correlative,62,NULL,NA
S[3],filler,What to do after,a tsunami hits a city like New York ,filler,wh,38,NULL,NA
S[3],trial,Broad rivers,are easier to navigate ,AdjBP,4,FALSE,TRUE,FALSE
S[3],filler,Within the tranquil coastal village,they found an old Roman statue ,filler,adjunct,28,NULL,NA
S[3],filler,Were I to save someone from the past%2C,I would make them pay in gold ,filler,if,59,NULL,NA
S[3],trial,Colors and ghosts,were all she could think of. ,BPand,18,FALSE,FALSE,TRUE
S[3],filler,If sentient robots roamed the Earth%2C,I'd welcome our new overlords,filler,if,52,NULL,NA
S[3],filler,On the golden sandy beach,%2C John asked Mary for a divorce ,filler,adjunct,21,NULL,NA
S[3],trial,Entrances and airports,always scared Jenna's dog ,BPand,26,FALSE,FALSE,TRUE
S[3],filler,Were I to be the mayor of College Park%2C,I would start all over again. ,filler,if,57,NULL,NA
S[3],filler,Emily%2C Michael%2C and Samantha,were not the only victims of the crime.,filler,name,12,NULL,NA
S[3],trial,The monuments and the mobs,played an important cultural role in New York,theBPand,7,TRUE,FALSE,TRUE
S[3],filler,Whose coffee,spilled on my new laptop?,filler,wh,37,NULL,NA
S[3],filler,Jake%2C Lisa%2C and Alex ,were happy to help their grandmother ,filler,name,19,NULL,NA
S[3],trial,The blissful journeys,on the Orient Express was exclusive to the upper classes,theAdjBP,5,TRUE,TRUE,FALSE
S[3],filler,The dynamic duo of Lucy and Max ,managed to escape a high security prison ,filler,name,16,NULL,NA
S[3],filler,Most challenges,are too hard ,filler,quantifier,45,NULL,NA
S[3],trial,The sofas and the hoses,were on sale last week ,theBPand,15,TRUE,FALSE,TRUE
S[3],filler,Which path to choose,when you're lost in the countryside ,filler,wh,34,NULL,NA
S[3],filler,If a portal to the Dune universe would open today%2C,planet earth would lose its nerd population ,filler,if,53,NULL,NA
S[3],trial,Innocent smiles and costly dinners,are the price to pay when you're dating ,AdjBPand,30,FALSE,TRUE,TRUE
S[3],filler,Many passionate voices%2C echoing through the room%2C,woke him up from his slumber ,filler,quantifier,47,NULL,NA
S[3],filler,The movie that mesmerized audiences with its breathtaking visuals,did not even win the Oscar,filler,rc,8,NULL,NA
S[3],trial,The anxious boys,were standing still in front of the director's office,theAdjBP,21,TRUE,TRUE,FALSE
S[3],filler,If time and money were no obstacles%2C,I would move to the mountains ,filler,if,51,NULL,NA
S[3],filler,Whichever path they chose,they lost ,filler,correlative,64,NULL,NA
S[3],trial,Dainty spoons,were required for the wedding ,AdjBP,12,FALSE,TRUE,FALSE
S[3],filler,Most vivid dreams%2C which transported them to fantastical realms%2C,were the product of drug consumption ,filler,quantifier,50,NULL,NA
S[3],filler,The Johnson siblings%2C Ethan and Olivia ,inherited their grandfather's questionable fortune ,filler,name,18,NULL,NA
S[3],trial,Stubborn mysteries and bashful maids,were the centrepiece of the Agatha Christie novels  ,AdjBPand,6,FALSE,TRUE,TRUE
S[3],filler,The city that buzzed with vibrant energy day and night,flooded under raising sea levels ,filler,rc,6,NULL,NA
S[3],filler,In the misty mountain valley,she could see the old haunted cabin ,filler,adjunct,26,NULL,NA
S[3],trial,The guests,didn't want to leave even though the host started cleaning up,theBP,32,TRUE,FALSE,FALSE
S[3],filler,Were I to open a bakery shop%2C,I would bake chocolate bread,filler,if,58,NULL,NA
S[3],filler,The city that never slept,was noisy%2C smelly%2C and impossible to like ,filler,rc,5,NULL,NA
S[3],trial,Answers,%2C nobody knows them ,BP,25,FALSE,FALSE,FALSE
S[3],filler,Whatever happened,to Dan%2C I blame his ex wife,filler,correlative,61,NULL,NA
S[3],filler,Within the serene garden oasis,you could smell a thousand flowers,filler,adjunct,23,NULL,NA
S[3],trial,The black leggings and the nerdy cardigans,were a uniform in her high school ,theAdjBPand,11,TRUE,TRUE,TRUE
S[3],filler,Atop the rugged cliffside lookout,they could see the devastation ,filler,adjunct,30,NULL,NA
S[3],filler,David and Rebecca,got married in Mexico last week,filler,name,14,NULL,NA
S[3],trial,Busy moms and decorative rugs,were all over her Instagram feed,AdjBPand,22,FALSE,TRUE,TRUE
S[3],filler,Several blissful moments%2C spent in each other's arms%2C,who could've guess what would come next ,filler,quantifier,48,NULL,NA
S[3],trial,Sketches,were all over her studio floor ,BP,17,FALSE,FALSE,FALSE
S[3],filler,The tree that shaded the picnic area,had been spared by the thunderstorm last week,filler,rc,4,NULL,NA
S[3],filler,Were I to relive yesterday%2C,I would play the correct lottery numbers ,filler,if,60,NULL,NA
S[3],trial,Sunlit ponds and green umbrellas,are all she could remember ,AdjBPand,14,FALSE,TRUE,TRUE
S[3],filler,The dog that barked incessantly,was taken by the city after the neighbours complained,filler,rc,3,NULL,NA
S[3],filler,Who is behind the mask,and controls the supply chain of maple syrup ,filler,wh,35,NULL,NA
S[3],trial,The inexpensive guns and the active babies,were the cause of the high childhood mortality rate ,theAdjBPand,27,TRUE,TRUE,TRUE
S[3],filler,The computer that crashed in a spectacular display of sparks,was very old ,filler,rc,7,NULL,NA
S[3],filler,At the bustling market square,a father was frantically looking for his son ,filler,adjunct,27,NULL,NA
S[3],trial,The tulips,are a symbol of our friendship ,theBP,8,TRUE,FALSE,FALSE
S[3],filler,When the clock strikes,it's game over for him,filler,wh,33,NULL,NA
S[3],filler,Whoever was responsible,for the information leaking needs to be fired,filler,correlative,63,NULL,NA
S[3],trial,The heroic daughters,of the baker saved the city from the flames,theAdjBP,29,TRUE,TRUE,FALSE
S[3],filler,The book that kept me up all night,was written by an ex soldier ,filler,rc,2,NULL,NA
S[3],filler,Few opportunities,are available for graduate students ,filler,quantifier,43,NULL,NA
S[3],trial,Sisters,are always very close ,BP,9,FALSE,FALSE,FALSE
S[3],filler,The Jones twins%2C Emma and Ethan,travelled all around the world together ,filler,name,20,NULL,NA
S[3],filler,Amidst the vibrant city lights,she could barely see him,filler,adjunct,22,NULL,NA
S[3],trial,The kings,were all beheaded after the revolution that swept the continent ,theBP,16,TRUE,FALSE,FALSE
S[3],filler,The Smith family,was once again struck by tragedy ,filler,name,13,NULL,NA
S[3],filler,Who holds the key,to power must be dealt with ,filler,wh,31,NULL,NA
S[3],trial,Hungry bears,often kill naive hikers ,AdjBP,20,FALSE,TRUE,FALSE
S[3],filler,Why the stars shine,at night but not during the day%2C mom? ,filler,wh,32,NULL,NA
S[3],filler,Sarah and John%2C,they were not meant for each other ,filler,name,11,NULL,NA
S[3],trial,Scissors,are the leading cause of accidents in primary schools,BP,1,FALSE,FALSE,FALSE
S[3],filler,Professor Thompson and his brilliant student%2C Alice,published a paper they later retracted ,filler,name,17,NULL,NA
S[3],trial,Fiendish mosquitos,caused the panda pandemic in Japan ,AdjBP,28,FALSE,TRUE,FALSE
S[3],filler,If the world was ruled by cats%2C,the world would be a litter box,filler,if,55,NULL,NA
S[3],filler,The flower that bloomed like a radiant burst of sunshine,was poisonous,filler,rc,10,NULL,NA
S[3],trial,The newspapers,failed to take digital media seriously ,theBP,24,TRUE,FALSE,FALSE
S[3],filler,Few precious chances%2C which had eluded them for so long%2C,were now apparent to them ,filler,quantifier,49,NULL,NA
S[3],filler,How can we mend,the strained relationship between workers and corporate?,filler,wh,39,NULL,NA
S[3],trial,Funerals and tables,require wood,BPand,2,FALSE,FALSE,TRUE
S[3],filler,Underneath the trees,weird mushrooms appeared in the space of a week,filler,adjunct,29,NULL,NA
S[4],filler,Underneath the trees,The small dwarves live in secret.,filler,adjunct,29,NULL,NA
S[4],trial,Hoses,Are found everywhere around the house to water the plants.,BP,15,FALSE,FALSE,FALSE
S[4],filler,On the golden sandy beach,The horses ran and it seemed like a distant dream for he never saw anything like this before in his life.,filler,adjunct,21,NULL,NA
S[4],filler,The dog that barked incessantly,Suddenly stopped and jumped two meters high to say hello to his favorite person in the whole world.,filler,rc,3,NULL,NA
S[4],filler,Whom,Do I tell that I have a problem with my drink?,filler,wh,36,NULL,NA
S[4],filler,Few precious chances%2C which had eluded them for so long%2C,Never came back and it was a complete tragedy.,filler,quantifier,49,NULL,NA
S[4],trial,The decorative rugs,Are ugly and hopefully will never be back in fashion.,theAdjBP,22,TRUE,TRUE,FALSE
S[4],filler,Jake%2C Lisa%2C and Alex ,Went out for a drink and somehow returned home three days later ,filler,name,19,NULL,NA
S[4],filler,If the world was ruled by cats%2C,Humans would serve them food and empty their litter boxes - oh wait%2C they already do!,filler,if,55,NULL,NA
S[4],trial,Blind artists,Have incredible sensitivity,AdjBP,19,FALSE,TRUE,FALSE
S[4],filler,Were I to open a bakery shop%2C,I would dedicate a lot of energy in finding the best ingredients for my pastry,filler,if,58,NULL,NA
