preamble,itemnum,condition,the,and,adj,group
Blissful journeys,5,AdjBP,FALSE,FALSE,TRUE,E
Steamy mirrors and blissful journeys,5,AdjBPand,FALSE,TRUE,TRUE,F
The journeys,5,theBP,TRUE,FALSE,FALSE,G
The mirrors and the journeys,5,theBPand,TRUE,TRUE,FALSE,H
The blissful journeys,5,theAdjBP,TRUE,FALSE,TRUE,A
The steamy mirrors and the blissful journeys,5,theAdjBPand,TRUE,TRUE,TRUE,B
Maids,6,BP,FALSE,FALSE,FALSE,F
Mysteries and maids,6,BPand,FALSE,TRUE,FALSE,G
Bashful maids,6,AdjBP,FALSE,FALSE,TRUE,H
Stubborn mysteries and bashful maids,6,AdjBPand,FALSE,TRUE,TRUE,A
The maids,6,theBP,TRUE,FALSE,FALSE,B
The mysteries and the maids,6,theBPand,TRUE,TRUE,FALSE,C
The bashful maids,6,theAdjBP,TRUE,FALSE,TRUE,D
The stubborn mysteries and the bashful maids,6,theAdjBPand,TRUE,TRUE,TRUE,E
Monuments,7,BP,FALSE,FALSE,FALSE,D
Monuments and mobs,7,BPand,FALSE,TRUE,FALSE,E
Pale monuments,7,AdjBP,FALSE,FALSE,TRUE,F
Pale monuments and disheveled mobs,7,AdjBPand,FALSE,TRUE,TRUE,G
The monuments,7,theBP,TRUE,FALSE,FALSE,H
The monuments and the mobs,7,theBPand,TRUE,TRUE,FALSE,A
The pale monuments,7,theAdjBP,TRUE,FALSE,TRUE,B
The pale monuments and the disheveled mobs,7,theAdjBPand,TRUE,TRUE,TRUE,C
Tulips,8,BP,FALSE,FALSE,FALSE,E
Tulips and remarks,8,BPand,FALSE,TRUE,FALSE,F
Pink tulips,8,AdjBP,FALSE,FALSE,TRUE,G
Pink tulips and unprintable remarks,8,AdjBPand,FALSE,TRUE,TRUE,H
The tulips,8,theBP,TRUE,FALSE,FALSE,A
The tulips and the remarks,8,theBPand,TRUE,TRUE,FALSE,B
The pink tulips,8,theAdjBP,TRUE,FALSE,TRUE,C
The pink tulips and the unprintable remarks,8,theAdjBPand,TRUE,TRUE,TRUE,D
Sisters,9,BP,FALSE,FALSE,FALSE,A
Sisters and brides,9,BPand,FALSE,TRUE,FALSE,B
Enchanted sisters,9,AdjBP,FALSE,FALSE,TRUE,C
Enchanted sisters and reluctant brides,9,AdjBPand,FALSE,TRUE,TRUE,D
The sisters,9,theBP,TRUE,FALSE,FALSE,E
The sisters and the brides,9,theBPand,TRUE,TRUE,FALSE,F
The enchanted sisters,9,theAdjBP,TRUE,FALSE,TRUE,G
The enchanted sisters and the reluctant brides,9,theAdjBPand,TRUE,TRUE,TRUE,H
Headaches,10,BP,FALSE,FALSE,FALSE,H
Headaches and rulers,10,BPand,FALSE,TRUE,FALSE,A
Familiar headaches,10,AdjBP,FALSE,FALSE,TRUE,B
Familiar headaches and wooden rulers,10,AdjBPand,FALSE,TRUE,TRUE,C
The headaches,10,theBP,TRUE,FALSE,FALSE,D
The headaches and the rulers,10,theBPand,TRUE,TRUE,FALSE,E
The familiar headaches,10,theAdjBP,TRUE,FALSE,TRUE,F
The familiar headaches and the wooden rulers,10,theAdjBPand,TRUE,TRUE,TRUE,G
Leggings,11,BP,FALSE,FALSE,FALSE,B
Leggings and cardigans,11,BPand,FALSE,TRUE,FALSE,C
Black leggings,11,AdjBP,FALSE,FALSE,TRUE,D
Black leggings and nerdy cardigans,11,AdjBPand,FALSE,TRUE,TRUE,E
The leggings,11,theBP,TRUE,FALSE,FALSE,F
The leggings and the cardigans,11,theBPand,TRUE,TRUE,FALSE,G
The black leggings,11,theAdjBP,TRUE,FALSE,TRUE,H
The black leggings and the nerdy cardigans,11,theAdjBPand,TRUE,TRUE,TRUE,A
Spoons,12,BP,FALSE,FALSE,FALSE,G
Spoons and strategies,12,BPand,FALSE,TRUE,FALSE,H
Dainty spoons,12,AdjBP,FALSE,FALSE,TRUE,A
Dainty spoons and bold strategies,12,AdjBPand,FALSE,TRUE,TRUE,B
The spoons,12,theBP,TRUE,FALSE,FALSE,C
The spoons and the strategies,12,theBPand,TRUE,TRUE,FALSE,D
The dainty spoons,12,theAdjBP,TRUE,FALSE,TRUE,E
The dainty spoons and the bold strategies,12,theAdjBPand,TRUE,TRUE,TRUE,F
Astronauts,13,BP,FALSE,FALSE,FALSE,C
Astronauts and stories,13,BPand,FALSE,TRUE,FALSE,D
Unlucky astronauts,13,AdjBP,FALSE,FALSE,TRUE,E
Unlucky astronauts and ominous stories,13,AdjBPand,FALSE,TRUE,TRUE,F
The astronauts,13,theBP,TRUE,FALSE,FALSE,G
The astronauts and the stories,13,theBPand,TRUE,TRUE,FALSE,H
The unlucky astronauts,13,theAdjBP,TRUE,FALSE,TRUE,A
The unlucky astronauts and the ominous stories,13,theAdjBPand,TRUE,TRUE,TRUE,B
Ponds,14,BP,FALSE,FALSE,FALSE,F
Ponds and umbrellas,14,BPand,FALSE,TRUE,FALSE,G
Sunlit ponds,14,AdjBP,FALSE,FALSE,TRUE,H
Sunlit ponds and green umbrellas,14,AdjBPand,FALSE,TRUE,TRUE,A
The ponds,14,theBP,TRUE,FALSE,FALSE,B
The ponds and the umbrellas,14,theBPand,TRUE,TRUE,FALSE,C
The sunlit ponds,14,theAdjBP,TRUE,FALSE,TRUE,D
The sunlit ponds and the green umbrellas,14,theAdjBPand,TRUE,TRUE,TRUE,E
Hoses,15,BP,FALSE,FALSE,FALSE,D
Sofas and hoses,15,BPand,FALSE,TRUE,FALSE,E
Drippy hoses,15,AdjBP,FALSE,FALSE,TRUE,F
Pricey sofas and drippy hoses,15,AdjBPand,FALSE,TRUE,TRUE,G
The hoses,15,theBP,TRUE,FALSE,FALSE,H
The sofas and the hoses,15,theBPand,TRUE,TRUE,FALSE,A
The drippy hoses,15,theAdjBP,TRUE,FALSE,TRUE,B
The pricey sofas and the drippy hoses,15,theAdjBPand,TRUE,TRUE,TRUE,C
Kings,16,BP,FALSE,FALSE,FALSE,E
Kings and games,16,BPand,FALSE,TRUE,FALSE,F
Gluttonous kings,16,AdjBP,FALSE,FALSE,TRUE,G
Gluttonous kings and friendly games,16,AdjBPand,FALSE,TRUE,TRUE,H
The kings,16,theBP,TRUE,FALSE,FALSE,A
The kings and the games,16,theBPand,TRUE,TRUE,FALSE,B
The gluttonous kings,16,theAdjBP,TRUE,FALSE,TRUE,C
The gluttonous kings and the friendly games,16,theAdjBPand,TRUE,TRUE,TRUE,D
Sketches,17,BP,FALSE,FALSE,FALSE,A
Sketches and pans,17,BPand,FALSE,TRUE,FALSE,B
Original sketches,17,AdjBP,FALSE,FALSE,TRUE,C
Original sketches and metallic pans,17,AdjBPand,FALSE,TRUE,TRUE,D
The sketches,17,theBP,TRUE,FALSE,FALSE,E
The sketches and the pans,17,theBPand,TRUE,TRUE,FALSE,F
The original sketches,17,theAdjBP,TRUE,FALSE,TRUE,G
The original sketches and the metallic pans,17,theAdjBPand,TRUE,TRUE,TRUE,H
Ghosts,18,BP,FALSE,FALSE,FALSE,H
Colors and ghosts,18,BPand,FALSE,TRUE,FALSE,A
Evil ghosts,18,AdjBP,FALSE,FALSE,TRUE,B
Lovely colors and evil ghosts,18,AdjBPand,FALSE,TRUE,TRUE,C
The ghosts,18,theBP,TRUE,FALSE,FALSE,D
The colors and the ghosts,18,theBPand,TRUE,TRUE,FALSE,E
The evil ghosts,18,theAdjBP,TRUE,FALSE,TRUE,F
The lovely colors and the evil ghosts,18,theAdjBPand,TRUE,TRUE,TRUE,G
Artists,19,BP,FALSE,FALSE,FALSE,B
Artists and pickles,19,BPand,FALSE,TRUE,FALSE,C
Blind artists,19,AdjBP,FALSE,FALSE,TRUE,D
Blind artists and spicy pickles,19,AdjBPand,FALSE,TRUE,TRUE,E
The artists,19,theBP,TRUE,FALSE,FALSE,F
The artists and the pickles,19,theBPand,TRUE,TRUE,FALSE,G
The blind artists,19,theAdjBP,TRUE,FALSE,TRUE,H
The blind artists and the spicy pickles,19,theAdjBPand,TRUE,TRUE,TRUE,A
Bears,20,BP,FALSE,FALSE,FALSE,G
Bears and deputies,20,BPand,FALSE,TRUE,FALSE,H
Hungry bears,20,AdjBP,FALSE,FALSE,TRUE,A
Hungry bears and brave deputies,20,AdjBPand,FALSE,TRUE,TRUE,B
The bears,20,theBP,TRUE,FALSE,FALSE,C
The bears and the deputies,20,theBPand,TRUE,TRUE,FALSE,D
The hungry bears,20,theAdjBP,TRUE,FALSE,TRUE,E
The hungry bears and the brave deputies,20,theAdjBPand,TRUE,TRUE,TRUE,F
Boys,21,BP,FALSE,FALSE,FALSE,C
Boys and keyboards,21,BPand,FALSE,TRUE,FALSE,D
Anxious boys,21,AdjBP,FALSE,FALSE,TRUE,E
Anxious boys and portable keyboards,21,AdjBPand,FALSE,TRUE,TRUE,F
The boys,21,theBP,TRUE,FALSE,FALSE,G
The boys and the keyboards,21,theBPand,TRUE,TRUE,FALSE,H
The anxious boys,21,theAdjBP,TRUE,FALSE,TRUE,A
The anxious boys and the portable keyboards,21,theAdjBPand,TRUE,TRUE,TRUE,B
Rugs,22,BP,FALSE,FALSE,FALSE,F
Moms and rugs,22,BPand,FALSE,TRUE,FALSE,G
Decorative rugs,22,AdjBP,FALSE,FALSE,TRUE,H
Busy moms and decorative rugs,22,AdjBPand,FALSE,TRUE,TRUE,A
The rugs,22,theBP,TRUE,FALSE,FALSE,B
The moms and the rugs,22,theBPand,TRUE,TRUE,FALSE,C
The decorative rugs,22,theAdjBP,TRUE,FALSE,TRUE,D
The busy moms and the decorative rugs,22,theAdjBPand,TRUE,TRUE,TRUE,E
Pizzas,23,BP,FALSE,FALSE,FALSE,D
Dilemmas and pizzas,23,BPand,FALSE,TRUE,FALSE,E
Homemade pizzas,23,AdjBP,FALSE,FALSE,TRUE,F
National dilemmas and homemade pizzas,23,AdjBPand,FALSE,TRUE,TRUE,G
The pizzas,23,theBP,TRUE,FALSE,FALSE,H
The dilemmas and the pizzas,23,theBPand,TRUE,TRUE,FALSE,A
The homemade pizzas,23,theAdjBP,TRUE,FALSE,TRUE,B
The national dilemmas and the homemade pizzas,23,theAdjBPand,TRUE,TRUE,TRUE,C
Newspapers,24,BP,FALSE,FALSE,FALSE,E
Newspapers and students,24,BPand,FALSE,TRUE,FALSE,F
Panicky newspapers,24,AdjBP,FALSE,FALSE,TRUE,G
Panicky newspapers and envious students,24,AdjBPand,FALSE,TRUE,TRUE,H
The newspapers,24,theBP,TRUE,FALSE,FALSE,A
The newspapers and the students,24,theBPand,TRUE,TRUE,FALSE,B
The panicky newspapers,24,theAdjBP,TRUE,FALSE,TRUE,C
The panicky newspapers and the envious students,24,theAdjBPand,TRUE,TRUE,TRUE,D
Answers,25,BP,FALSE,FALSE,FALSE,A
Answers and diamonds,25,BPand,FALSE,TRUE,FALSE,B
Untrue answers,25,AdjBP,FALSE,FALSE,TRUE,C
Untrue answers and outlandish diamonds,25,AdjBPand,FALSE,TRUE,TRUE,D
The answers,25,theBP,TRUE,FALSE,FALSE,E
The answers and the diamonds,25,theBPand,TRUE,TRUE,FALSE,F
The untrue answers,25,theAdjBP,TRUE,FALSE,TRUE,G
The untrue answers and the outlandish diamonds,25,theAdjBPand,TRUE,TRUE,TRUE,H
Entrances,26,BP,FALSE,FALSE,FALSE,H
Entrances and airports,26,BPand,FALSE,TRUE,FALSE,A
Formal entrances,26,AdjBP,FALSE,FALSE,TRUE,B
Formal entrances and chaotic airports,26,AdjBPand,FALSE,TRUE,TRUE,C
The entrances,26,theBP,TRUE,FALSE,FALSE,D
The entrances and the airports,26,theBPand,TRUE,TRUE,FALSE,E
The formal entrances,26,theAdjBP,TRUE,FALSE,TRUE,F
The formal entrances and the chaotic airports,26,theAdjBPand,TRUE,TRUE,TRUE,G
Guns,27,BP,FALSE,FALSE,FALSE,B
Guns and babies,27,BPand,FALSE,TRUE,FALSE,C
Inexpensive guns,27,AdjBP,FALSE,FALSE,TRUE,D
Inexpensive guns and active babies,27,AdjBPand,FALSE,TRUE,TRUE,E
The guns,27,theBP,TRUE,FALSE,FALSE,F
The guns and the babies,27,theBPand,TRUE,TRUE,FALSE,G
The inexpensive guns,27,theAdjBP,TRUE,FALSE,TRUE,H
The inexpensive guns and the active babies,27,theAdjBPand,TRUE,TRUE,TRUE,A
Mosquitos,28,BP,FALSE,FALSE,FALSE,G
Towns and mosquitos,28,BPand,FALSE,TRUE,FALSE,H
Fiendish mosquitos,28,AdjBP,FALSE,FALSE,TRUE,A
Flat towns and fiendish mosquitos,28,AdjBPand,FALSE,TRUE,TRUE,B
The mosquitos,28,theBP,TRUE,FALSE,FALSE,C
The towns and the mosquitos,28,theBPand,TRUE,TRUE,FALSE,D
The fiendish mosquitos,28,theAdjBP,TRUE,FALSE,TRUE,E
The flat towns and the fiendish mosquitos,28,theAdjBPand,TRUE,TRUE,TRUE,F
Daughters,29,BP,FALSE,FALSE,FALSE,C
Rectangles and daughters,29,BPand,FALSE,TRUE,FALSE,D
Heroic daughters,29,AdjBP,FALSE,FALSE,TRUE,E
Orange rectangles and heroic daughters,29,AdjBPand,FALSE,TRUE,TRUE,F
The daughters,29,theBP,TRUE,FALSE,FALSE,G
The rectangles and the daughters,29,theBPand,TRUE,TRUE,FALSE,H
The heroic daughters,29,theAdjBP,TRUE,FALSE,TRUE,A
The orange rectangles and the heroic daughters,29,theAdjBPand,TRUE,TRUE,TRUE,B
Dinners,30,BP,FALSE,FALSE,FALSE,F
Smiles and dinners,30,BPand,FALSE,TRUE,FALSE,G
Costly dinners,30,AdjBP,FALSE,FALSE,TRUE,H
Innocent smiles and costly dinners,30,AdjBPand,FALSE,TRUE,TRUE,A
The dinners,30,theBP,TRUE,FALSE,FALSE,B
The smiles and the dinners,30,theBPand,TRUE,TRUE,FALSE,C
The costly dinners,30,theAdjBP,TRUE,FALSE,TRUE,D
The innocent smiles and the costly dinners,30,theAdjBPand,TRUE,TRUE,TRUE,E
Flowers,31,BP,FALSE,FALSE,FALSE,D
Squares and flowers,31,BPand,FALSE,TRUE,FALSE,E
Gorgeous flowers,31,AdjBP,FALSE,FALSE,TRUE,F
Ceramic squares and gorgeous flowers,31,AdjBPand,FALSE,TRUE,TRUE,G
The flowers,31,theBP,TRUE,FALSE,FALSE,H
The squares and the flowers,31,theBPand,TRUE,TRUE,FALSE,A
The gorgeous flowers,31,theAdjBP,TRUE,FALSE,TRUE,B
The ceramic squares and the gorgeous flowers,31,theAdjBPand,TRUE,TRUE,TRUE,C
Guests,32,BP,FALSE,FALSE,FALSE,E
Gifts and guests,32,BPand,FALSE,TRUE,FALSE,F
Generous guests,32,AdjBP,FALSE,FALSE,TRUE,G
Bridal gifts and generous guests,32,AdjBPand,FALSE,TRUE,TRUE,H
The guests,32,theBP,TRUE,FALSE,FALSE,A
The gifts and the guests,32,theBPand,TRUE,TRUE,FALSE,B
The generous guests,32,theAdjBP,TRUE,FALSE,TRUE,C
The bridal gifts and the generous guests,32,theAdjBPand,TRUE,TRUE,TRUE,D
